Time (Year),ssp126_model1,ssp126_model2,ssp126_model3,ssp126_model4,ssp126_model5,ssp126_model6,ssp126_model7,ssp126_model8,ssp126_model9,ssp126_model10,ssp126_model11,ssp126_model12,ssp126_model13,ssp126_model14,ssp126_model15,ssp126_model16,ssp126_model17,ssp126_model18,ssp126_model19,ssp126_model20,ssp126_model21,ssp245_model1,ssp245_model2,ssp245_model3,ssp245_model4,ssp245_model5,ssp245_model6,ssp245_model7,ssp245_model8,ssp245_model9,ssp245_model10,ssp245_model11,ssp245_model12,ssp245_model13,ssp245_model14,ssp245_model15,ssp245_model16,ssp245_model17,ssp245_model18,ssp245_model19,ssp245_model20,ssp245_model21,ssp370_model1,ssp370_model2,ssp370_model3,ssp370_model4,ssp370_model5,ssp370_model6,ssp370_model7,ssp370_model8,ssp370_model9,ssp370_model10,ssp370_model11,ssp370_model12,ssp370_model13,ssp370_model14,ssp370_model15,ssp370_model16,ssp370_model17,ssp370_model18,ssp370_model19,ssp370_model20,ssp370_model21,ssp585_model1,ssp585_model2,ssp585_model3,ssp585_model4,ssp585_model5,ssp585_model6,ssp585_model7,ssp585_model8,ssp585_model9,ssp585_model10,ssp585_model11,ssp585_model12,ssp585_model13,ssp585_model14,ssp585_model15,ssp585_model16,ssp585_model17,ssp585_model18,ssp585_model19,ssp585_model20,ssp585_model21,ssp126_multi_model_mean,ssp245_multi_model_mean,ssp370_multi_model_mean,ssp585_multi_model_mean,observations
1950,-0.266813033982203,-0.403677320332633,-0.57393271388429,-0.503883917897497,-0.798754066106653,-0.692607788561133,-0.650512579415249,-0.37612587136681,-0.803324605381931,-0.765498357434979,-0.444723447784781,-0.3559799384646,-0.366996933904034,-0.31381425994914,-0.547616858042602,-0.604143451794528,-0.340673148300255,-0.33953275765964,-0.543427282862808,-0.361887852323719,-0.516502836445568,-0.269720586876815,-0.419417811151675,-0.609638249292061,-0.531352621853898,-0.805836516349871,-0.709605255244242,-0.692657088287547,-0.38088926689818,-0.828913383289205,-0.771628336403239,-0.444903646848957,-0.384998815713345,-0.376065815596689,-0.322119527106395,-0.710108441457862,-0.658343926914881,-0.361075079085992,-0.354604517275959,-0.568067458966368,-0.380906465604482,-0.526689032153797,-0.289293496870982,-0.408788782800627,-0.634060407869413,-0.54169946661716,-0.825581235103186,-0.715267134600424,-0.69351869043021,-0.398126216046535,-0.857316549939412,-0.792842778002864,-0.437433183280518,-0.394815741165075,-0.396329609880752,-0.338201094564283,-0.710928046667675,-0.635406426990812,-0.373617477811081,-0.368199465978364,-0.616050766498688,-0.3920944678772,-0.513489224103978,-0.310197488335689,-0.419201901274391,-0.638713188203837,-0.567193101819441,-0.82930899587916,-0.71994391399204,-0.721249425216229,-0.417565821149026,-0.846492447357718,-0.813484564413386,-0.477645006903913,-0.391621003540763,-0.412203627702524,-0.344685946728703,-0.608034044541284,-0.650164222441902,-0.371436879102816,-0.366528764090617,-0.566046943498066,-0.394360631467123,-0.564450393838342,-0.503353762947383,-0.528930563922451,-0.539669536338059,-0.544310871976046,-0.696000456809998
1951,-0.300167942151916,-0.410101831504278,-0.607457899194571,-0.545105098129739,-0.805972036696062,-0.703344983648265,-0.702480147877964,-0.434640320180904,-0.819561653523124,-0.780507022415975,-0.474014612031169,-0.385193420687585,-0.388189469778467,-0.34431862947531,-0.567403309083602,-0.628470546752226,-0.369143838953448,-0.359866450178401,-0.556789137166902,-0.398151730082475,-0.571395309019124,-0.29953965101015,-0.415824976809404,-0.629334607854275,-0.554142166658153,-0.80297310212444,-0.712465937634988,-0.73188429163713,-0.430449406086723,-0.834130093937006,-0.77790317702312,-0.472412758818223,-0.406730231418635,-0.393085339573759,-0.346456949092669,-0.707881847786496,-0.662736089455052,-0.381400193367142,-0.367811327820903,-0.569527831868243,-0.406253020012798,-0.572292691274185,-0.313519240067421,-0.410788292246878,-0.649337453299097,-0.557405914559808,-0.812371501500479,-0.711512937489886,-0.731734046843485,-0.448560156184271,-0.852391168780002,-0.792332219342256,-0.466169543651631,-0.406012263440061,-0.403524919358745,-0.358132366265636,-0.707494748580928,-0.645197355355776,-0.389171736061712,-0.375724654186001,-0.618928083445667,-0.413227086735446,-0.563780199590838,-0.328604820973851,-0.419841411353445,-0.650784801076952,-0.583890557686402,-0.817261344669873,-0.719454427552421,-0.746792176927556,-0.454641741528746,-0.84691854061964,-0.804989546847366,-0.493487797648413,-0.403019680643752,-0.420480635714171,-0.36144227305266,-0.605575589442026,-0.657328645410246,-0.384905920216966,-0.376677232590737,-0.56764362110988,-0.420950371214701,-0.595283897448098,-0.531060732787215,-0.546439794822071,-0.553681708904096,-0.555236906367995,-0.528022110462189
1952,-0.331322472740453,-0.415749097627838,-0.638351008409529,-0.5832903443021,-0.811911444377643,-0.712622929323686,-0.750607581163081,-0.489157734950993,-0.833796885315678,-0.793677540513443,-0.5008241700707,-0.412220953029475,-0.407707418862287,-0.372624412062578,-0.585531412601995,-0.650616794254177,-0.395600075792743,-0.378674248045741,-0.56871550941139,-0.431907472503383,-0.622533466160519,-0.327459581765311,-0.41225704734245,-0.647367281018546,-0.575214280370005,-0.799551643988877,-0.714491210099368,-0.768215927245933,-0.476766070403414,-0.838177927523816,-0.783068694949918,-0.497743149482972,-0.426816321324452,-0.408820559883338,-0.369012014550378,-0.705367814237263,-0.666384261642293,-0.400274234870437,-0.380046148354097,-0.570433805471509,-0.429913643306634,-0.61486786144377,-0.336265341467538,-0.412385496727154,-0.663123427072435,-0.571801143641665,-0.799273953792749,-0.707337186238135,-0.76716212987958,-0.495659948349953,-0.846968045442907,-0.791193716672183,-0.492692252242705,-0.416315499620396,-0.410106655095717,-0.376677342719631,-0.703853110927582,-0.653799488318327,-0.403583618850121,-0.382641566831012,-0.621091819624439,-0.432936451450246,-0.610740812931908,-0.346028040872625,-0.420190900172202,-0.661769447757251,-0.599291681505576,-0.805289533488008,-0.718383450276463,-0.770471211741096,-0.489339452065167,-0.846564073892637,-0.79642091466377,-0.508020891225897,-0.413543339195144,-0.428151519960352,-0.377096947361849,-0.603032342893869,-0.663643444774436,-0.397488658569614,-0.386042367244954,-0.568665139059874,-0.445809748514137,-0.624208274472039,-0.556544903405687,-0.562488070441656,-0.56645757180459,-0.565211970462236,-0.454040855169296
1953,-0.360326355346501,-0.42063547041397,-0.666676784280583,-0.618515631963987,-0.816601941472641,-0.720480541832501,-0.794990364281716,-0.539781559770915,-0.84608701102843,-0.805059632711334,-0.525225268676877,-0.437118727245263,-0.425591997068864,-0.398787084559444,-0.602035505296953,-0.670638790715032,-0.420088265865331,-0.395990549864678,-0.579243343067333,-0.463213814783387,-0.67000549911171,-0.353519116136908,-0.40870007407068,-0.663769094093027,-0.594600925077998,-0.795579050075673,-0.715697134037327,-0.801714204726181,-0.519913882768037,-0.841084027155034,-0.787146737483283,-0.520951410251996,-0.445294576344907,-0.423296269758453,-0.389828202157503,-0.702556376764562,-0.669295145208366,-0.417725815658912,-0.39132315783246,-0.570791576449835,-0.45191825605724,-0.654477292616491,-0.357556279604637,-0.413583449738951,-0.675451876185264,-0.584908939201,-0.786276984586607,-0.702746095095051,-0.79986235058459,-0.539504905953095,-0.841054508054356,-0.789433633061321,-0.51705852887244,-0.425739027705276,-0.416079042188414,-0.393863103789045,-0.699992501656368,-0.661239467815903,-0.416873296207655,-0.388954579386223,-0.622554512281226,-0.451246116624702,-0.654445123131154,-0.362470899755863,-0.42024895317536,-0.671681118019478,-0.613416371420328,-0.793382483611254,-0.716739928827167,-0.792314543490647,-0.521706755625189,-0.845443161952403,-0.787767225342407,-0.521270575758535,-0.423204323293589,-0.435216231473873,-0.391665300666489,-0.600388894855143,-0.669117611391641,-0.40919330667964,-0.394634974552901,-0.569121084644564,-0.468969653559896,-0.651247736474033,-0.579861625683688,-0.577103920224994,-0.578020205796347,-0.574247673074781,-0.39651358127594
1954,-0.387228884466481,-0.424777189872827,-0.692499318506464,-0.650856143527221,-0.820072924566944,-0.726956300687732,-0.835723013436677,-0.586614091927174,-0.856488076256937,-0.814702492981439,-0.547290164977312,-0.459942341953877,-0.441884019318991,-0.422861557803117,-0.616949674855277,-0.688592539762624,-0.442654398403818,-0.411849452547926,-0.588409210822988,-0.492128950846393,-0.713898745091853,-0.377756657997111,-0.40514041460267,-0.678572597441985,-0.61233382192006,-0.791062202065575,-0.716099606674106,-0.832440755222365,-0.55996670101888,-0.842875234274857,-0.790158996624825,-0.542093491027458,-0.462202108753274,-0.436537079019786,-0.408948511775804,-0.699437850224797,-0.671475505356852,-0.433783307165129,-0.401656491062397,-0.570607359102212,-0.472296589952009,-0.691183157035255,-0.377416322358499,-0.414385190055043,-0.686355910843133,-0.596752824234159,-0.773369087158812,-0.697745727174322,-0.829893452711985,-0.580173419928201,-0.83465774699215,-0.787058311325723,-0.53932488054852,-0.434296294028172,-0.421446319046765,-0.409716457332252,-0.695902470964199,-0.667543596784526,-0.429060740579757,-0.394668076011953,-0.623328551600594,-0.468179446290037,-0.69496633761446,-0.377937259134342,-0.42001418687596,-0.680533621922223,-0.626284266724554,-0.781529138956444,-0.714532605034776,-0.812349887841265,-0.551790905304358,-0.843569660550543,-0.779017207362642,-0.533262843993725,-0.432014839172894,-0.441674811371172,-0.405162555113918,-0.597629999779031,-0.673760064261671,-0.420028033090034,-0.402465719511383,-0.569020880083542,-0.490460671159951,-0.676426298479782,-0.60106569012448,-0.590315639919877,-0.588392436361108,-0.582355497891629,-0.590928971767426
1955,-0.412078918912471,-0.428190383193567,-0.715882050336234,-0.680386263609421,-0.822353535151365,-0.732088249368815,-0.872899074741895,-0.629756487137627,-0.865055462156306,-0.822654785314796,-0.567090225755237,-0.480746803336672,-0.456623900414002,-0.444902177201584,-0.630307761231961,-0.704533452237968,-0.463344043545646,-0.426284752336528,-0.596249314583815,-0.518710532004491,-0.75429968543466,-0.400210277368046,-0.401564733708824,-0.691810066602216,-0.628444450297707,-0.786007955012963,-0.715714361147548,-0.860456631411239,-0.596997615700843,-0.84357808747302,-0.792127008612454,-0.561224700030266,-0.477575653229735,-0.448567414192098,-0.426415465207526,-0.696002827910718,-0.672932170875924,-0.448474840394908,-0.411060238677976,-0.569887385329537,-0.49107818831834,-0.72504704853344,-0.395869526780757,-0.414793741708934,-0.69586820434489,-0.607356059715698,-0.760538855296204,-0.692341994686274,-0.857313511849497,-0.617742958269105,-0.827784815133043,-0.784074074076102,-0.55954710431979,-0.442000613053096,-0.426212737427079,-0.424263941094978,-0.691572750946932,-0.672737838111061,-0.44016572761177,-0.399786449558064,-0.623426180836418,-0.483759613614552,-0.732376816536998,-0.392431090145692,-0.419485248800811,-0.688340589735162,-0.637914747455227,-0.769718466079553,-0.71177001601319,-0.830604662085534,-0.579638603204501,-0.840957164493716,-0.770159759956016,-0.544023392954841,-0.439986954750907,-0.447527390946902,-0.417603824134119,-0.594740576191555,-0.677579650876226,-0.430000962353347,-0.409545125221484,-0.568373782563128,-0.510313079600735,-0.699767779267859,-0.620211326571669,-0.602151291430254,-0.59759683404625,-0.589546803182405,-0.645905733108521
1956,-0.43492488274353,-0.430891065792082,-0.736887767325982,-0.707179584039864,-0.823472660087305,-0.735913994739519,-0.906611123873176,-0.669308755011286,-0.871843884568079,-0.828964647155942,-0.584695927682333,-0.499586525544885,-0.469851654046238,-0.46496272116201,-0.642143356446468,-0.718516346544504,-0.482202353089804,-0.439329944130463,-0.602799485996343,-0.54301566759824,-0.791293946636131,-0.420917711353127,-0.397960002826608,-0.703513502836017,-0.642964048894669,-0.780423137527748,-0.714556966406235,-0.885822308083902,-0.631078950996766,-0.843218823474331,-0.793072154356935,-0.578399704149319,-0.491451564998727,-0.459411518329603,-0.4422711054969,-0.692242182686471,-0.673672034043761,-0.461828305752704,-0.419548447235513,-0.568637904650757,-0.508292405919917,-0.756129983931885,-0.412939739327726,-0.414812114014865,-0.704020992966264,-0.616741644307353,-0.747774983339355,-0.686540658806905,-0.882179935477325,-0.652290067425952,-0.820442627474392,-0.780487223732393,-0.577780285995686,-0.448865167636541,-0.43038256238043,-0.437531821720768,-0.686993256079575,-0.676847814749635,-0.450207835275819,-0.404314101566683,-0.622859496675687,-0.498009601078252,-0.766748068825109,-0.405956473896367,-0.418660817559612,-0.695115472070029,-0.648326934828958,-0.757939454146594,-0.708460494072654,-0.847105985347298,-0.605296001947124,-0.837619010117464,-0.761183953586453,-0.553577624610625,-0.447132600429882,-0.452774191644835,-0.429004112308746,-0.591705707084486,-0.680585146927854,-0.439120175089897,-0.415883572917664,-0.567188883916231,-0.528556851432938,-0.721295801224187,-0.63735220448639,-0.612638703045328,-0.605655714231272,-0.595832822150471,-0.714460134506226
1957,-0.455814764509,-0.432895140539756,-0.755578605105995,-0.731308897805889,-0.823458930733636,-0.738470706640499,-0.936950765369716,-0.705369761493046,-0.876907396581373,-0.833679686550738,-0.60017685755156,-0.516515329360857,-0.481606893497542,-0.483096402545925,-0.652489804117067,-0.730595447542157,-0.499274060438609,-0.45101822154686,-0.608095186273545,-0.56510092476384,-0.824966301169468,-0.439916363176621,-0.394313500089652,-0.713714632403594,-0.65592361448364,-0.774314551608029,-0.712642827325908,-0.908597681330889,-0.662282265891577,-0.841823376643902,-0.793015659107198,-0.593672528243019,-0.503865821284137,-0.469093451481626,-0.456556997803261,-0.688147065998066,-0.673702050701309,-0.473871353740094,-0.427135119097159,-0.566865184193091,-0.523968408956705,-0.784492402456806,-0.428650595569366,-0.41444330155872,-0.710846075668826,-0.624932314270723,-0.735066266342642,-0.680347329590575,-0.904549463783042,-0.683890370093309,-0.812637961497956,-0.776304042472816,-0.594078800146235,-0.454903008634574,-0.433960072299044,-0.449546094809193,-0.682154082852492,-0.6798988102164,-0.459206444336473,-0.40825544226243,-0.621640448394487,-0.51095220029822,-0.79815075310762,-0.418517600959603,-0.41753960283404,-0.700871539924265,-0.657539691329305,-0.746181114999104,-0.704612166574236,-0.86188067898911,-0.628808703567472,-0.833568272579555,-0.752079029149911,-0.561950644711033,-0.453463568543498,-0.457415525057854,-0.439378315400234,-0.588510639929893,-0.682785256339059,-0.447393707951392,-0.421491301822243,-0.565475110840623,-0.545221653413307,-0.741033790342044,-0.652541432577956,-0.621805469334109,-0.612591137057388,-0.601224662631323,-0.480788379907608
1958,-0.47479611730671,-0.434218398316432,-0.772016047322552,-0.752846206503477,-0.822340723645198,-0.739795119286271,-0.964008632866921,-0.738037228398014,-0.880299384807586,-0.836846984300053,-0.613601712975651,-0.531586444002471,-0.491928831115388,-0.499355868436396,-0.661380200363055,-0.740824388759222,-0.514603480306675,-0.46138247726924,-0.612171505263518,-0.585022328025673,-0.85540066527318,-0.457243302853044,-0.390612810415064,-0.722444907698105,-0.66735390332326,-0.767688972829262,-0.709987184491183,-0.928842069822736,-0.690678352193231,-0.839417379016254,-0.791978592639509,-0.607096556303418,-0.514854021076474,-0.477637089848599,-0.469314228586143,-0.683708907960693,-0.673029240194069,-0.484631394024461,-0.433834212510931,-0.564575508695214,-0.538135174861225,-0.81019416504131,-0.443025520625838,-0.413690284203483,-0.716374814391031,-0.631950543467269,-0.722401599608588,-0.673767466130073,-0.924478168264613,-0.712618568469793,-0.804377457140788,-0.771530792295721,-0.608496309403563,-0.460127055339399,-0.436949558897425,-0.460332485556137,-0.677045509873267,-0.681915768502222,-0.467180738612683,-0.411614890566511,-0.619780838803877,-0.522610012145037,-0.826654679811327,-0.430118771986599,-0.416120345304989,-0.705621884346328,-0.665571620415733,-0.73443248307774,-0.700232956337288,-0.874955266204779,-0.650221759689146,-0.828817768130079,-0.742834398934804,-0.569167263951385,-0.458991513342312,-0.46145179292796,-0.448741220279032,-0.585140786447312,-0.684188611495131,-0.454829553519062,-0.426378409552854,-0.563241224971705,-0.560336846213602,-0.759004976192955,-0.665831559263985,-0.629678951161152,-0.618424907719459,-0.60573330730099,-0.471741557121277
1959,-0.491916059539676,-0.434876517733926,-0.786260925230465,-0.771862712537427,-0.820146159990713,-0.739923530101066,-0.987874390027741,-0.767407732480194,-0.882072572756442,-0.838513092271739,-0.625038299243897,-0.544852505726169,-0.50085627883675,-0.513793199090287,-0.66884739278612,-0.749256209831231,-0.52823450907016,-0.470455302640062,-0.615063162904676,-0.602835361158952,-0.882680100697314,-0.472935266954323,-0.386845825561636,-0.729735505557642,-0.677285429964854,-0.760553150140538,-0.706605114690319,-0.946614213238377,-0.716337236511777,-0.836026160702772,-0.789981869184714,-0.618724530117447,-0.524451384550787,-0.485066126713377,-0.480583405896311,-0.678919418173621,-0.671660685444863,-0.494135595991963,-0.439659641610717,-0.561775180514985,-0.550821492822422,-0.833294554092561,-0.456087728672742,-0.412556027078324,-0.720638134572084,-0.637818543794879,-0.709769979415455,-0.666806376367447,-0.94202145440795,-0.738548439950705,-0.795667616373237,-0.766173714954107,-0.62108576684841,-0.464550095261075,-0.439355327201895,-0.469916447851574,-0.671657997866703,-0.682923293228669,-0.474149704133765,-0.41439687408581,-0.617292323507741,-0.533005446713673,-0.852328808832681,-0.440764397117164,-0.4144018167799,-0.709379416712181,-0.672441066436306,-0.722682615440476,-0.695330581086466,-0.886355971902958,-0.669579671815143,-0.823380052423431,-0.733439645879855,-0.575251997623127,-0.463727951139276,-0.464883487146267,-0.457107505156443,-0.581581722603744,-0.684803772909447,-0.461435660507391,-0.430554851714987,-0.560495822838845,-0.573931484769844,-0.775232391868485,-0.677274572126429,-0.63628627563981,-0.623178576243758,-0.609369613517702,-0.496693670749664
