Time (Year),Model,Model+Scenario,Model+Scenario+Internal variability,Model (constrained),Model+Scenario (constrained),Model+Scenario+Internal variability (constrained)
1950,64.56409,64.56409,100,69.64293,70.29086,100
1951,62.8342,62.8342,100,67.78748,68.04124,100
1952,61.26619,61.26619,100,65.73316,65.77646,100
1953,59.87865,59.87865,100,63.50835,63.52135,100
1954,58.68144,58.68144,100,61.14719,61.30026,100
1955,57.67564,57.67564,100,58.68782,59.13572,100
1956,56.85438,56.85438,100,56.1704,57.04736,100
1957,56.20418,56.20418,100,53.63501,55.05089,100
1958,55.70668,55.70668,100,51.11961,53.15761,100
1959,55.3404,55.3404,100,48.65833,51.37408,100
1960,55.08236,55.08236,100,46.28027,49.70232,100
1961,54.90939,54.90939,100,44.00865,48.1402,100
1962,54.7992,54.7992,100,41.86061,46.68201,100
1963,54.73102,54.73102,100,39.84728,45.31929,100
1964,54.68599,54.68599,100,37.97429,44.04152,100
1965,54.64734,54.64734,100,36.2424,42.83689,100
1966,54.60035,54.60035,100,34.64833,41.69297,100
1967,54.53226,54.53226,100,33.18553,40.59718,100
1968,54.43205,54.43205,100,31.84501,39.53735,100
1969,54.29019,54.29019,100,30.61603,38.50195,100
1970,54.09843,54.09843,100,29.48668,37.48032,100
1971,53.84958,53.84958,100,28.44442,36.46286,100
1972,53.53724,53.53724,100,27.47651,35.4411,100
1973,53.15565,53.15565,100,26.57029,34.40772,100
1974,52.69952,52.69952,100,25.71344,33.35654,100
1975,52.16385,52.16385,100,24.89418,32.28253,100
1976,51.54387,51.54387,100,24.10139,31.18176,100
1977,50.8349,50.8349,100,23.32472,30.05136,100
1978,50.0323,50.0323,100,22.55463,28.88947,100
1979,49.13141,49.13141,100,21.78255,27.69519,100
1980,48.12756,48.12756,100,21.0008,26.46858,100
1981,47.01604,47.01604,100,20.20276,25.21059,100
1982,45.79217,45.79217,100,19.38283,23.92303,100
1983,44.45134,44.45134,100,18.53651,22.60851,100
1984,42.98915,42.98915,100,17.66047,21.27046,100
1985,41.40156,41.40156,100,16.75254,19.91306,100
1986,39.68511,39.68511,100,15.81185,18.54122,100
1987,37.83722,37.83722,100,14.83877,17.16051,100
1988,35.85655,35.85655,100,13.83502,15.77714,100
1989,33.74352,33.74352,100,12.8037,14.39792,100
1990,31.50081,31.50081,100,11.74928,13.03023,100
1991,29.13414,29.13414,100,10.67764,11.6819,100
1992,26.65304,26.65304,100,9.596037,10.36124,100
1993,24.07176,24.07176,100,8.513091,9.076948,100
1994,21.41033,21.41033,100,7.438745,7.838087,100
1995,18.69552,18.69552,100,6.384171,6.654027,100
1996,15.96187,15.96187,100,5.361706,5.534441,100
